# $Id$
# PcbXY Version 1.0
# Date: Sun Jan 19 01:37:56 2014 UTC
# Author: Brian Silverman
# Title: 971 BBB Cape - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
X6/X1/CONN12,"22-23-2031","(unknown)",4635.00,3840.00,0,top
X6/X3/CONN12,"22-23-2031","(unknown)",4635.00,3240.00,0,top
X6/X4/CONN12,"22-23-2031","(unknown)",4635.00,2940.00,0,top
X7/X1/CONN12,"22-23-2031","(unknown)",4635.00,2640.00,0,top
X7/X2/CONN12,"22-23-2031","(unknown)",4635.00,2340.00,0,top
X7/X3/CONN12,"22-23-2031","(unknown)",4635.00,2040.00,0,top
X7/X4/CONN12,"22-23-2031","(unknown)",4635.00,1740.00,0,top
X5/X1/CONN12,"22-23-2031","(unknown)",4635.00,1440.00,0,top
X5/X2/CONN12,"22-23-2031","(unknown)",4635.00,1140.00,0,top
X5/X3/CONN12,"22-23-2031","(unknown)",4635.00,840.00,0,top
X5/X4/CONN12,"22-23-2031","(unknown)",4635.00,540.00,0,top
X1/X2/CONN4,"22-23-2041","(unknown)",4220.00,3840.00,0,top
X4/X4/CONN4,"22-23-2041","(unknown)",4220.00,1740.00,0,top
X4/X2/CONN4,"22-23-2041","(unknown)",4220.00,2040.00,0,top
X3/X4/CONN4,"22-23-2041","(unknown)",4220.00,2340.00,0,top
X3/X2/CONN4,"22-23-2041","(unknown)",4220.00,2640.00,0,top
X2/X4/CONN4,"22-23-2041","(unknown)",4220.00,2940.00,0,top
X2/X2/CONN4,"22-23-2041","(unknown)",4220.00,3240.00,0,top
X6/X2/CONN12,"22-23-2031","(unknown)",4635.00,3540.00,0,top
X1/X4/CONN4,"22-23-2041","(unknown)",4220.00,3540.00,0,top
X4/C1,"0603","(unknown)",3954.41,1910.00,270,top
X4/U4,"TSSOP16","(unknown)",3854.41,1820.00,270,bottom
X6/C1,"0603","(unknown)",3984.41,3220.00,90,bottom
X5/C1,"0603","(unknown)",4294.41,700.00,180,top
X5/U4,"TSSOP16","(unknown)",4336.03,923.86,90,bottom
X3/C1,"0603","(unknown)",3931.35,2496.15,270,top
X1/C1,"0603","(unknown)",3934.41,3685.00,270,top
X2/C1,"0603","(unknown)",3934.41,3085.59,270,top
X1/X2/R9,"0603","(unknown)",4244.41,3920.00,180,bottom
X5/X1/C2,"0603","(unknown)",4584.41,1530.00,180,bottom
X5/X4/C2,"0603","(unknown)",4585.00,630.00,180,bottom
X5/X2/C2,"0603","(unknown)",4584.41,1230.00,180,bottom
X7/X3/C2,"0603","(unknown)",4584.41,2130.00,180,bottom
X7/X2/C2,"0603","(unknown)",4584.41,2430.00,180,bottom
X6/X1/C2,"0603","(unknown)",4584.41,3930.00,180,bottom
X6/X2/C2,"0603","(unknown)",4585.00,3630.00,180,bottom
X6/X3/C2,"0603","(unknown)",4584.41,3330.00,180,bottom
X6/X1/R6,"0603","(unknown)",4709.41,3765.00,180,bottom
X6/X3/R6,"0603","(unknown)",4709.41,3165.00,180,bottom
X6/X4/R6,"0603","(unknown)",4709.41,2865.00,180,bottom
X7/X1/R6,"0603","(unknown)",4709.41,2560.00,180,bottom
X7/X2/R6,"0603","(unknown)",4709.41,2265.00,180,bottom
X7/X3/R6,"0603","(unknown)",4709.41,1965.00,180,bottom
X7/X4/R6,"0603","(unknown)",4709.41,1660.00,180,bottom
X1/X4/R9,"0603","(unknown)",4244.41,3620.00,180,bottom
X1/X4/R10,"0603","(unknown)",4344.41,3620.00,180,bottom
X1/X4/R6,"0603","(unknown)",4243.82,3465.00,180,bottom
X1/X4/C2,"0603","(unknown)",4119.41,3630.00,180,bottom
X1/X4/R8,"0603","(unknown)",4369.41,3440.59,90,bottom
X2/X2/R6,"0603","(unknown)",4243.82,3165.00,180,bottom
X2/X2/R8,"0603","(unknown)",4369.41,3139.41,90,bottom
X2/X2/C2,"0603","(unknown)",4119.41,3330.00,180,bottom
X2/X2/R9,"0603","(unknown)",4244.41,3320.00,180,bottom
X2/X2/R10,"0603","(unknown)",4344.41,3320.00,180,bottom
X2/X4/R9,"0603","(unknown)",4244.41,3020.00,180,bottom
X2/X4/R10,"0603","(unknown)",4344.41,3020.00,180,bottom
X2/X4/R6,"0603","(unknown)",4243.82,2865.00,180,bottom
X2/X4/R8,"0603","(unknown)",4370.00,2840.00,90,bottom
X2/X4/C2,"0603","(unknown)",4119.41,3030.00,180,bottom
X3/X2/R9,"0603","(unknown)",4244.41,2720.00,180,bottom
X3/X2/R10,"0603","(unknown)",4344.41,2720.00,180,bottom
X3/X2/R6,"0603","(unknown)",4243.82,2565.00,180,bottom
X3/X2/R8,"0603","(unknown)",4370.00,2540.00,90,bottom
X3/X2/C2,"0603","(unknown)",4120.00,2730.00,180,bottom
X3/X4/R9,"0603","(unknown)",4244.41,2420.00,180,bottom
X3/X4/R10,"0603","(unknown)",4344.41,2420.00,180,bottom
X3/X4/R6,"0603","(unknown)",4245.00,2265.00,180,bottom
X3/X4/R8,"0603","(unknown)",4370.00,2240.00,90,bottom
X3/X4/C2,"0603","(unknown)",4120.00,2430.00,180,bottom
X4/X2/R9,"0603","(unknown)",4244.41,2120.00,180,bottom
X4/X2/R10,"0603","(unknown)",4344.41,2120.00,180,bottom
X4/X2/R6,"0603","(unknown)",4243.82,1960.00,180,bottom
X4/X2/C2,"0603","(unknown)",4119.41,2130.00,180,bottom
X4/X4/R10,"0603","(unknown)",4344.41,1820.00,180,bottom
X4/X4/R9,"0603","(unknown)",4244.41,1820.00,180,bottom
X4/X4/R6,"0603","(unknown)",4243.82,1665.00,180,bottom
X4/X4/R8,"0603","(unknown)",4369.41,1639.41,90,bottom
X4/X4/C2,"0603","(unknown)",4119.41,1830.00,180,bottom
X1/X2/R10,"0603","(unknown)",4345.00,3921.18,180,bottom
X1/X2/R6,"0603","(unknown)",4245.59,3765.59,180,bottom
X1/X2/C2,"0603","(unknown)",4120.00,3931.18,180,bottom
X5/X2/R7,"0603","(unknown)",4710.00,1230.00,180,bottom
X5/X1/R7,"0603","(unknown)",4710.00,1530.00,180,bottom
X5/X3/R7,"0603","(unknown)",4710.00,930.00,180,bottom
X5/X4/R7,"0603","(unknown)",4710.00,630.00,180,bottom
X7/X2/R7,"0603","(unknown)",4710.00,2430.00,180,bottom
X7/X1/R7,"0603","(unknown)",4711.18,2730.00,180,bottom
X7/X3/R7,"0603","(unknown)",4710.00,2130.00,180,bottom
X7/X4/R7,"0603","(unknown)",4709.41,1830.00,180,bottom
X6/X2/R7,"0603","(unknown)",4710.00,3630.00,180,bottom
X6/X3/R7,"0603","(unknown)",4710.00,3330.00,180,bottom
X6/X4/R7,"0603","(unknown)",4704.41,3030.00,180,bottom
X6/X1/R7,"0603","(unknown)",4710.00,3930.00,180,bottom
X4/X2/R8,"0603","(unknown)",4370.00,1940.00,90,bottom
X1/X2/R8,"0603","(unknown)",4369.41,3740.59,90,bottom
X7/C1,"0603","(unknown)",3984.41,2030.00,90,bottom
X7/U4,"TSSOP16","(unknown)",3854.41,2130.00,180,top
X5/X3/C2,"0603","(unknown)",4585.00,930.00,180,bottom
X5/X4/R6,"0603","(unknown)",4710.00,465.00,180,bottom
X5/X3/R6,"0603","(unknown)",4709.41,765.00,180,bottom
X5/X2/R6,"0603","(unknown)",4709.41,1065.00,180,bottom
X5/X1/R6,"0603","(unknown)",4709.41,1360.00,180,bottom
X7/X1/C2,"0603","(unknown)",4584.41,2730.00,180,bottom
X7/X4/C2,"0603","(unknown)",4584.41,1830.00,180,bottom
X6/X2/R6,"0603","(unknown)",4710.59,3465.00,180,bottom
X6/X4/C2,"0603","(unknown)",4584.41,3030.00,180,bottom
C28,"0603","(unknown)",2972.40,2498.29,270,top
C29,"0603","(unknown)",2462.40,2608.29,0,top
C30,"0603","(unknown)",2468.27,2952.91,90,top
C31,"0603","(unknown)",2669.41,3100.00,180,top
C13,"0805","(unknown)",2426.97,2678.29,0,top
C14,"0805","(unknown)",2904.41,2484.57,270,top
C15,"0603","(unknown)",1712.91,3559.62,0,top
C32,"0603","(unknown)",2082.40,2688.29,0,bottom
C10,"0805","(unknown)",1474.41,3410.00,90,bottom
D4,"SOT23","(unknown)",1513.32,2883.29,90,top
U2,"SO16W","(unknown)",1697.99,3163.29,90,top
C2,"0603","(unknown)",1977.99,3213.29,90,top
C3,"0603","(unknown)",1414.41,3315.00,90,top
C6,"0603","(unknown)",1977.99,3013.29,90,top
C9,"0603","(unknown)",1417.99,3063.29,270,top
C7,"0805","(unknown)",1223.42,3088.29,180,bottom
L2,"1812","(unknown)",1267.99,2996.72,270,top
U9,"ABMM2","(unknown)",2909.41,3280.00,270,top
C4,"0603","(unknown)",3038.57,3222.13,90,top
C5,"0603","(unknown)",2779.41,3400.00,90,top
C26,"0603","(unknown)",2904.76,3029.57,0,bottom
C27,"0603","(unknown)",3079.54,2975.97,270,top
C11,"0805","(unknown)",1835.41,2389.00,270,bottom
C12,"0805","(unknown)",2085.41,2629.00,0,bottom
U4,"SOT223","(unknown)",2034.66,2448.00,90,bottom
X14/C4,"1210","(unknown)",1075.71,2374.65,90,top
X14/C3,"1210","(unknown)",1195.71,2374.65,90,top
X14/U3,"TOPMOD","(unknown)",1459.41,2318.19,0,top
X14/R4,"0603","(unknown)",1434.41,2185.00,180,top
X14/R3,"0603","(unknown)",1330.12,2173.70,0,top
X14/R2,"0603","(unknown)",1330.12,2113.70,0,top
X14/R5,"0805","(unknown)",1474.41,2055.00,0,top
C25,"0603","(unknown)",774.41,525.00,270,bottom
C18,"0603","(unknown)",2874.41,525.00,270,bottom
C19,"0603","(unknown)",2574.41,525.00,270,bottom
C20,"0603","(unknown)",2274.41,525.00,270,bottom
C21,"0603","(unknown)",1974.41,525.00,270,bottom
C22,"0603","(unknown)",1674.41,525.00,270,bottom
C23,"0603","(unknown)",1374.41,525.00,270,bottom
C24,"0603","(unknown)",1074.41,525.00,270,bottom
CONN5,"22-23-2031","(unknown)",2054.41,575.00,270,top
CONN4,"22-23-2031","(unknown)",2354.41,575.00,270,top
CONN3,"22-23-2031","(unknown)",2654.41,575.00,270,top
CONN2,"22-23-2031","(unknown)",2954.41,575.00,270,top
CONN6,"22-23-2031","(unknown)",1754.41,575.00,270,top
CONN7,"22-23-2031","(unknown)",1454.41,575.00,270,top
CONN8,"22-23-2031","(unknown)",1154.41,575.00,270,top
CONN9,"22-23-2031","(unknown)",854.41,575.00,270,top
CONN1,"22-23-2041","(unknown)",3274.41,2490.00,0,top
X6/U4,"TSSOP16","(unknown)",3854.41,3310.00,180,top
R12,"0603","(unknown)",4409.41,630.00,90,bottom
R10,"0603","(unknown)",4349.41,630.00,90,bottom
X8/C4,"0603","(unknown)",2419.41,1335.00,270,top
X8/C5,"0603","(unknown)",2164.41,1480.00,180,top
X8/C1,"0603","(unknown)",1904.41,1335.00,270,top
X8/C2,"0603","(unknown)",1904.41,1215.00,90,top
X8/R3,"0603","(unknown)",2394.41,1125.00,0,top
X8/C3,"0603","(unknown)",2419.41,1215.00,90,top
X8/U2,"SO14","(unknown)",2159.41,1275.00,90,top
X8/R1,"0603","(unknown)",1929.41,1415.00,180,top
X8/R2,"0603","(unknown)",1929.16,1123.40,180,top
X9/R1,"0603","(unknown)",1114.16,1413.40,180,top
X9/R3,"0603","(unknown)",1579.41,1125.00,0,top
X9/C1,"0603","(unknown)",1089.41,1335.00,270,top
X9/C4,"0603","(unknown)",1604.41,1335.00,270,top
X9/U2,"SO14","(unknown)",1341.66,1273.40,90,top
X9/R2,"0603","(unknown)",1114.41,1125.00,180,top
X9/C2,"0603","(unknown)",1089.41,1215.00,90,top
X9/C3,"0603","(unknown)",1604.41,1215.00,90,top
X9/R4,"0603","(unknown)",1579.41,1415.00,0,top
C16,"0603","(unknown)",3061.88,1133.81,270,top
C17,"0603","(unknown)",3049.64,1390.09,270,top
U1,"SO16","(unknown)",2849.38,1283.22,90,top
C8,"0603","(unknown)",1414.41,3210.00,90,top
U3,"SOT223","(unknown)",1277.74,3305.29,270,bottom
D2,"0805","(unknown)",2488.55,3495.00,0,top
D6,"0805","(unknown)",2488.98,3355.00,0,top
R15,"0603","(unknown)",2634.41,3355.00,180,top
R14,"0603","(unknown)",2633.98,3425.00,180,top
R13,"0603","(unknown)",2633.98,3495.00,180,top
D5,"0805","(unknown)",2488.55,3425.00,0,top
X3/U4,"TSSOP16","(unknown)",3857.91,2407.71,270,bottom
X2/U4,"TSSOP16","(unknown)",3854.41,3000.00,270,bottom
X1/U4,"TSSOP16","(unknown)",3849.41,3605.00,270,bottom
U6,"LQFP64_10","(unknown)",2772.40,2808.29,180,top
U8,"beaglebone","(unknown)",2155.81,2723.29,90,top
CONN12,"22-23-2031","(unknown)",854.41,2300.00,90,top
X8/R4,"0603","(unknown)",2385.00,1415.00,0,top
D7,"0805","(unknown)",959.41,2080.00,270,top
X14/D1,"0805","(unknown)",1704.41,2450.00,90,top
X14/R13,"0603","(unknown)",1714.41,2344.41,270,top
R17,"0603","(unknown)",1029.41,2140.00,90,top
R1,"0603","(unknown)",2634.41,3565.00,180,top
D1,"0805","(unknown)",2488.98,3565.00,0,top
X9/R9,"0603","(unknown)",1666.58,1100.09,90,top
X9/R5,"0603","(unknown)",1026.83,1435.17,270,top
X8/R12,"0603","(unknown)",2480.08,1337.08,270,top
X8/R10,"0603","(unknown)",2484.41,1215.00,90,top
X8/R9,"0603","(unknown)",2484.41,1050.00,90,top
X8/R8,"0603","(unknown)",1844.41,1215.00,90,top
X14/C6,"1210","(unknown)",1509.41,1960.00,0,top
X14/C5,"0805","(unknown)",1609.41,2055.00,0,top
X14/C2,"0805","(unknown)",1474.41,2125.00,0,top
X9/R12,"0603","(unknown)",1659.75,1337.78,270,top
X9/R11,"0603","(unknown)",1579.75,1480.05,180,top
X9/R10,"0603","(unknown)",1664.41,1215.00,90,top
X9/R8,"0603","(unknown)",1024.41,1215.00,90,top
X9/R7,"0603","(unknown)",1024.01,1108.76,90,top
X9/R6,"0603","(unknown)",1027.90,1335.76,270,top
X8/R11,"0603","(unknown)",2385.14,1477.54,180,top
X8/R7,"0603","(unknown)",1844.41,1105.00,90,top
X8/R6,"0603","(unknown)",1849.83,1335.12,270,top
X8/R5,"0603","(unknown)",1995.59,1483.46,0,top
X14/R6,"0805","(unknown)",1610.28,2123.70,0,top
X16/C4,"1210","(unknown)",3429.41,924.99,90,top
X16/R4,"0603","(unknown)",3694.41,719.99,180,top
X16/R3,"0603","(unknown)",3593.82,715.00,0,top
X16/R2,"0603","(unknown)",3593.82,655.00,0,top
X16/R5,"0805","(unknown)",3749.41,549.56,270,top
X16/C3,"1210","(unknown)",3299.41,924.99,90,top
X16/U3,"TOPMOD","(unknown)",3719.41,853.19,0,top
X16/D1,"0805","(unknown)",3979.41,944.99,90,top
X16/R13,"0603","(unknown)",3979.41,819.40,270,top
X16/C2,"0805","(unknown)",3739.41,660.00,0,top
X16/C6,"1210","(unknown)",3874.41,460.00,0,top
X16/C5,"0805","(unknown)",3854.41,585.00,0,top
X16/R6,"0805","(unknown)",3879.41,665.00,0,top
X9/C5,"0603","(unknown)",1344.41,1480.00,180,top
