Source:,/home/scottberman/Documents/Projects/FRC971/RKPI4-Power/PI-Power-Board/PI-Power-Board.kicad_sch,,,,
Date:,Tue 06 Dec 2022 05:25:53 PM PST,,,,
Tool:,Eeschema 6.0.9-8da3e8f707~117~ubuntu20.04.1,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,
Component Count:,103,,,,
,,,,,
Individual Components:,,,,,
,,,,,
,,,,,
Item,Qty,Reference(s),Value,MFG,MFG P/N
1,17,"C1, C8, C16, C17, C18, C19, C21, C22, C24, C25, C27, C28, C29, C30, C37, C39, C40",0.1uF-10%-50V-0603,Samsung Electro-Mechanics,CL10B104KB8NNNC
2,2,"C2, C23",0.015uF-10%-50V-0603,YAGEO,CC0603KRX7R9BB153
3,1,C3,330pF-5%-50V-0603,Murata,GCM1885C2A331FA16D
4,2,"C4, C26",47pF-5%-50V-0603,Samsung Electro-Mechanics,CL10C470JB8NNNC
5,9,"C5, C6, C7, C12, C13, C14, C20, C35, C36",22uF-10V-10%-0805,Samsung Electro-Mechanics,CL21A226KPCLRNC
6,8,"C9, C10, C11, C15, C32, C33, C34, C38",22uF-25V-10%-1210,Murata,GRM32ER61E226KE15L
7,1,C31,1.0uF-10%-10V-0603,Samsung Electro-Mechanics,CL10B105KP8NNNC
8,1,D1,+5V,Everlight Electronics Co Ltd,QTLP650D4TR
9,1,D2,NSR05T40XV2T5G,onsemi,NSR05T40XV2T5G
10,1,D3,NSR05T40XV2T5G,onsemi,NSR05T40XV2T5G
11,1,D4,NSR05T40XV2T5G,onsemi,NSR05T40XV2T5G
12,1,D5,15V,Nexperia,"BZT52H-C15,115"
13,1,D6,15V,Littelfuse,SZ1SMB15CAT3G
14,1,D7,PESD1CAN,Nexperia,"PESD1CAN,215"
15,1,J1,PI Header,Harwin Inc,M20-7812045
16,1,J2,UART,Molex,70555-0002
17,1,J3,IMU SPI,Molex,70555-0011
18,1,J4,CAN,Molex,70555-0001
19,1,J5,POWER,Molex,70555-0003
20,1,L1,2.5uH-1.45A,Wurth Electronik,744031002
21,1,L2,1.0 uH-13.7m-20%,Vishay,IHLP2020CZER1R0M01
22,4,"Q1, Q2, Q3, Q4",CSD17577Q5A,Texas Instruments,CSD17577Q5A
23,1,Q5,SI4483ADY-T1-GE3,Vishay,SI4483ADY-T1-GE3
24,5,"R1, R2, R3, R9, R23",2.00k-1%-0603,Yageo,RC0603FR-072KL
25,1,R4,49.9R-1%-0603,Yageo,RC0603FR-0749R9L
26,3,"R5, R14, R15",0R-1206,Yageo,RC1206JR-070RL
27,2,"R6, R20",DNI-0603,,
28,2,"R7, R11",105k-1%-0603,Yageo,RC0603FR-07105KL
29,1,R8,93.1k-1%-0603,Panasonic Electronic Components,ERJ-3EKF9312V
30,1,R10,10K0-1%-0603,Yageo,RC0603FR-0710KL
31,1,R12,249k-1%-0603,Yageo,RC0603FR-07249KL
32,1,R13,15m-1%-0612,"KOA Speer Electronics, Inc.",WU732BTTD15L0F
33,2,"R16, R24",20.0k-1%-0603,Yageo,RC0603FR-0720KL
34,2,"R17, R19",1.0k-1%-0603,Yageo,RC0603FR-071KL
35,1,R18,499R-1%-0603,Yageo,RC0603FR-07499RL
36,2,"R21, R31",120R-1%-0805,Yageo,RMCF0805FT120R
37,1,R22,15.8k-1%-0603,Yageo,RC0603FR-0715K8L
38,1,R25,0R-0603,Stackpole Electronics Inc,RMCF0603ZT0R00
39,1,R26,10R0-1%-0603,Yageo,RC0603FR-0710RL
40,1,R27,31.6k-1%-0603,Stackpole Electronics Inc,RMCF0603FT31K6
41,1,R28,10.0k-1%-0603,Yageo,RC0603FR-0710KL
42,2,"R29, R30",100R-1%-0603,Yageo,RC0603FR-07100RL
43,5,"TP1, TP2, TP3, TP4, TP5",,Keystone Electronics,5002
48,2,"U1, U11",NLSV1T34DFT2G,onsemi,NLSV1T34DFT2G
49,1,U2,40MHz,ECS Inc,ECS-5032MV-400-CN-TR
50,1,U3,MIC5233-3.0YM5-TR,Microchip,MIC5233-3.0YM5-TR
51,1,U4,MCP2542FD-E/SN,Microchip,MCP2542FD-E/SN
52,1,U5,LM5176RHF,Texas Instruments,LM5176RHFT
53,1,U6,AP62200WU-7,Diodes Inc,AP62200WU-7
54,1,U7,MCP2517FDT-H/SL,Microchip,MCP2517FDT-H/SL
55,3,"U8, U9, U10",ADM3490ARZ,Analog Devices,ADM3490ARZ
