Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",0.725000,-0.850000,270.000000,top
"C3","0.1uF","C_0805_2012Metric",1.050000,-0.850000,270.000000,top
"C4","0.1uF","C_0805_2012Metric",1.527000,-0.675000,90.000000,top
"C5","0.1uF","C_0805_2012Metric",1.170000,-1.970000,0.000000,top
"C12","0.1uF","C_0805_2012Metric",1.175000,-2.400000,0.000000,top
"C14","0.1uF","C_0805_2012Metric",1.175000,-2.125000,180.000000,top
"D1","DR","LED_1206_3216Metric",0.225000,-1.950000,180.000000,top
"D2","MOSI","LED_1206_3216Metric",0.225000,-1.850000,180.000000,top
"D3","MISO","LED_1206_3216Metric",0.225000,-1.750000,180.000000,top
"D4","SCK","LED_1206_3216Metric",0.225000,-2.050000,180.000000,top
"D5","CS","LED_1206_3216Metric",0.225000,-2.150000,180.000000,top
"D6","B240","D_SMB",1.425000,-2.550000,180.000000,top
"D7","SMA6J5.0A","D_SMA",2.325000,-0.950000,180.000000,top
"D8","SMA6J5.0A","D_SMA",2.325000,-0.750000,180.000000,top
"D9","SMA6J5.0A","D_SMA",2.325000,-0.550000,180.000000,top
"D10","SMA6J5.0A","D_SMA",2.325000,-0.350000,180.000000,top
"D11","SMA6J5.0A","D_SMA",2.325000,-1.350000,180.000000,top
"D12","SMA6J5.0A","D_SMA",2.325000,-1.150000,180.000000,top
"D13","SMA6J5.0A","D_SMA",2.325000,-1.750000,180.000000,top
"D14","SMA6J5.0A","D_SMA",2.325000,-1.550000,180.000000,top
"D15","HDG","LED_1206_3216Metric",2.125000,-2.475000,270.000000,top
"D16","RTE","LED_1206_3216Metric",1.925000,-2.475000,270.000000,top
"D17","E2B","LED_1206_3216Metric",1.725000,-2.475000,270.000000,top
"D18","E2A","LED_1206_3216Metric",1.825000,-2.475000,270.000000,top
"D19","E1B","LED_1206_3216Metric",2.025000,-2.475000,270.000000,top
"D20","E1A","LED_1206_3216Metric",2.225000,-2.475000,270.000000,top
"D21","SMA6J5.0A","D_SMA",2.325000,-2.150000,180.000000,top
"D22","SMA6J5.0A","D_SMA",2.325000,-1.950000,180.000000,top
"D23","SMDJ5.0A","D_SMC",1.925000,-0.600000,90.000000,top
"D24","RIO","LED_1206_3216Metric",2.325000,-2.475000,270.000000,top
"D25","SMDJ5.0A","D_SMC",0.275000,-0.500000,0.000000,top
"D26","PI PWR","LED_1206_3216Metric",0.225000,-2.250000,180.000000,top
"R1","33R","R_0805_2012Metric",0.825000,-0.850000,270.000000,top
"R8","33R","R_0805_2012Metric",1.150000,-0.850000,270.000000,top
"R10","4.99k","R_0805_2012Metric",1.325000,-1.400000,0.000000,top
"R11","33R","R_0805_2012Metric",1.325000,-1.500000,180.000000,top
"R12","33R","R_0805_2012Metric",0.725000,-0.625000,270.000000,top
"R13","33R","R_0805_2012Metric",1.325000,-1.200000,180.000000,top
"R14","33R","R_0805_2012Metric",1.325000,-1.300000,180.000000,top
"R15","33R","R_0805_2012Metric",0.550000,-1.175000,270.000000,top
"R16","33R","R_0805_2012Metric",1.325000,-1.100000,180.000000,top
"R17","33R","R_0805_2012Metric",1.325000,-0.900000,180.000000,top
"R18","33R","R_0805_2012Metric",0.950000,-0.850000,270.000000,top
"R20","33R","R_0805_2012Metric",1.325000,-1.000000,180.000000,top
"R21","33R","R_0805_2012Metric",1.325000,-0.800000,180.000000,top
"R26","4.99k","R_0805_2012Metric",1.325000,-1.600000,180.000000,top
"U1","CD74ACT14M96","SO-14_3.9x8.65mm_P1.27mm",0.325000,-1.450000,0.000000,top
"U2","ADM3490ARZ","SO-8_3.9x4.9mm_P1.27mm",0.880315,-0.610039,90.000000,top
"U3","ADM3490ARZ","SO-8_3.9x4.9mm_P1.27mm",1.125000,-0.609055,90.000000,top
"U5","ADIS16505-3BMLZ","BGA-100_10x10_15.0x15.0mm",0.925000,-1.425000,90.000000,top
"U6","ADM3490ARZ","SO-8_3.9x4.9mm_P1.27mm",1.375000,-0.606102,90.000000,top
"U7","ADUM1280ARZ","SO-8_3.9x4.9mm_P1.27mm",1.425000,-1.800000,180.000000,top
"U8","CD74ACT14M96","SO-14_3.9x8.65mm_P1.27mm",1.875000,-1.550000,270.000000,top
"U9","ADUM1280ARZ","SO-8_3.9x4.9mm_P1.27mm",1.425000,-2.050000,180.000000,top
"U11","CD74ACT14M96","SO-14_3.9x8.65mm_P1.27mm",1.875000,-2.100000,270.000000,top
"U12","ADUM1280ARZ","SO-8_3.9x4.9mm_P1.27mm",1.425000,-2.300000,0.000000,top
"U13","AZ1117IH-3.3TRG1","SOT-223",0.275000,-0.900000,0.000000,top
